bar,drinker
"Brave Olive Pub","Aaron Adkins"
"Spicy Cats Tavern","Aaron Betancourt"
"Spinning Nomad Ale House","Aaron Betancourt"
"Sour Axe Bar","Aaron Betancourt"
"Iron Tigress Inn","Aaron Butler"
"Lively Elf","Aaron Clement"
"Lonely Snowdrop","Aaron Clement"
"Loud Elderberry Bar","Aaron Clement"
"Overrated Pigeons Pub","Aaron Griffin"
"Nimble Squash","Aaron Hodge"
"Nifty Branch Inn","Aaron Hodge"
"Courageous Melon","Aaron Holder"
"Crooked Sailor Ale House","Aaron Holder"
"Courageous Lyre Bar","Aaron Holder"
"Fluffy Husband","Aaron Jackson"
"Fearless Drum Bar","Aaron Jackson"
"Foamy Cave","Aaron Jackson"
Anchor,"Aaron Lindell"
"Admiral Benbow Inn","Aaron Lindell"
"Deep Lantern","Aaron Mackiewicz"
"Foamy Cave","Aaron Mikell"
"Hoppy Apple Brewhouse","Aaron Owens"
"Hot Cup Inn","Aaron Owens"
"Hungry Skunks Bar","Aaron Owens"
"Deep Lantern","Aaron Page"
"Hidden Lady Parlor","Aaron Sallee"
"Hissing Ocean Bar","Aaron Sallee"
"Hidden Table Brewpub","Aaron Sallee"
"Fascinated Demon Pub","Aaron Voorhees"
"Hungry Turtle Pub","Aaron Whitmer"
"Hypnotic Gate Tavern","Aaron Whitmer"
"Hungry Vanilla Bean Tavern","Aaron Whitmer"
"Spirited Brew Saloon","Aaron Zeigler"
"Steel Yew","Aaron Zeigler"
"Steel Elf","Aaron Zeigler"
"Absent Snow","Abel White"
Anchor,"Abel White"
"Admiral Benbow Inn","Abel White"
"Harsh Flame Tavern","Abigail Brandon"
"Gray City","Abigail Brandon"
"Drab Parrots Pub","Abigail Mack"
"Dramatic Crabs","Abigail Mack"
"Hungry Vanilla Bean Tavern","Ada Saunders"
"Hungry Turtle Pub","Ada Saunders"
"Hypnotic Gate Tavern","Ada Saunders"
"Wild Hag Bar","Ada Shepherd"
"Brave Olive Pub","Adam Clark"
"Fearless Drum Bar","Adam Fieck"
"Fluffy Husband","Adam Fieck"
"Busy Bachelor Bar","Adam Gomez"
"Brave Olive Pub","Adam Gomez"
"Blue City","Adam Gomez"
"Rich Tauren Bar","Adam Harper"
"Responsible Chair","Adam Harper"
"Regular Drum Tavern","Adam Harper"
"Dramatic Crabs","Adam Heiliger"
"Snobbish Jackal Inn","Adam Hood"
"Sore Head","Adam Hood"
"Nimble Squash","Adam Hoover"
"Nimble Stream Pub","Adam Hoover"
"Nifty Branch Inn","Adam Hoover"
"Hungry Turtle Pub","Adam Jensen"
"Hungry Vanilla Bean Tavern","Adam Jensen"
"Perfect Rabbit Tavern","Adam Jones"
"Pleasant Parrot Tavern","Adam Jones"
"Twelve Spider Inn","Adam Lamberton"
"Uneven Ants Tavern","Adam Lamberton"
"Ugliest Pants Tavern","Adam Lamberton"
"Thundering Table Inn","Adam Loats"
"Teeny Gauntlet Bar","Adam Loats"
"Triangular Pegasus Inn","Adam Loats"
"Overrated Pigeons Pub","Adam Martin"
"Peaceful Bison","Adam Martin"
"Iron Turkey","Adam Menzel"
"Itchy Cheetah Bar","Adam Menzel"
"Ivory Lamb Pub","Adam Menzel"
"Icky Elephants Tavern","Adam Nabors"
"Incredible Sailboat Pub","Adam Nabors"
"Impossible Fire","Adam Nabors"
"Nifty Branch Inn","Adam Perez"
"Nimble Squash","Adam Perez"
"Hypnotic Gate Tavern","Adam Rawlings"
"Hungry Turtle Pub","Adam Rawlings"
"Hungry Vanilla Bean Tavern","Adam Rawlings"
"Shattered Oak","Adam Santiago"
"Oceanic Knight Inn","Adam Schepker"
"Nervous Mountain Inn","Adam Starkey"
"Jealous Fiddle Pub","Adam Wheeler"
"Discreet Elderberry Pub","Adam Youngman"
"Dizzy Lemon Lounge","Adam Youngman"
"Lonely Snowdrop","Adan Ocegueda"
"Loud Elderberry Bar","Adan Ocegueda"
"Lively Elf","Adan Ocegueda"
"Empty Snapdragon Pub","Addie Mendoza"
"Gypsy Root Roadhouse","Addie Walsh"
"Spirited Brew Saloon","Adela Monteiro"
"Regular Drum Tavern","Adelaide Eudy"
"Responsible Chair","Adelaide Eudy"
"Double Swan Tavern","Adele Turner"
"Dramatic Crabs","Adele Turner"
"New Spider Bar","Adrian Bailey"
"Nervous Mountain Inn","Adrian Bailey"
"Steel Elf","Adrian Crowe"
"Spirited Brew Saloon","Adrian Crowe"
"Steel Yew","Adrian Crowe"
"Wild Hag Bar","Adrian Hardesty"
"Windy Harp","Adrian Hardesty"
"Wretched Grape Inn","Adrian Hardesty"
"Deep Flute Bar","Adrian Horowitz"
"Daily Barracuda Inn","Adrian Horowitz"
"Fascinated Chick Pub","Adrian Meadows"
"Courageous Melon","Adrian Rogers"
"Courageous Lyre Bar","Adrian Rogers"
"Oceanic Knight Inn","Adrian Ross"
"Sweet And Sour Castle Bar","Adrian Schwebach"
"Busy Bachelor Bar","Adrian Shipman"
"Brave Olive Pub","Adrian Shipman"
"Admiral Benbow Inn","Adriana Barnett"
"Diamond Turtle Inn","Adriana Spivey"
"Hot Cup Inn","Adriana Trager"
"Hoppy Apple Brewhouse","Adriana Trager"
"Hungry Skunks Bar","Adriana Trager"
"Psychotic Seadog","Adrianne Gerhardt"
"Gray City","Adrienne Dillman"
"Gypsy Root Roadhouse","Adrienne Dillman"
"Wicked Stream","Adrienne Rowe"
"Venomous River Inn","Adrienne Rowe"
"Unusual Truffle","Adrienne Rowe"
"Armed Pudding Bar","Adrienne Turner"
Anchor,"Agnes Bobrow"
"Loud Elderberry Bar","Agnes Bock"
"Lively Elf","Agnes Bock"
"Regular Drum Tavern","Agnes Gonzalez"
"Responsible Chair","Agnes Gonzalez"
"Different Kumquat Pub","Agnes Shulte"
"Dizzy Lemon Lounge","Agnes Shulte"
"Discreet Elderberry Pub","Agnes Shulte"
"Wrong Whip Bar","Agnes Thompson"
"Tasty Fairy Tavern","Ahmad Clayton"
"Steel Elf","Ahmad Rudio"
"Spirited Brew Saloon","Ahmad Rudio"
"Steel Yew","Ahmad Rudio"
"Ivory Lamb Pub","Ahmed Romer"
"Iron Turkey","Ahmed Romer"
"Itchy Cheetah Bar","Ahmed Romer"
"Pleasant Parrot Tavern","Ai Mcguinness"
"Poor Bats Inn","Ai Mcguinness"
"Perfect Rabbit Tavern","Ai Mcguinness"
"Impossible Fire","Ailene Brown"
"Icky Elephants Tavern","Ailene Brown"
"Incredible Sailboat Pub","Ailene Brown"
"Thundering Table Inn","Aimee Broadwater"
"Hungry Vanilla Bean Tavern","Aimee Katz"
"Tacky Lyre Pub","Aimee Sanborn"
"Ivory Lamb Pub","Al Thomas"
"Iron Turkey","Al Thomas"
"Nifty Branch Inn","Alan Chambers"
"Wild Hag Bar","Alan Grimaldi"
"Windy Harp","Alan Grimaldi"
"Overrated Pigeons Pub","Alan Nance"
"Parallel Pegasus Bar","Alan Nance"
"Oceanic Woodpecker Inn","Alan Ponder"
"Organic Buffalo Bar","Alan Ponder"
"Oceanic Knight Inn","Alan Ponder"
"Rusty Sailor Outpost","Alan Price"
"Russian Otter Pub","Alan Price"
"Skinny Guitar","Alan Rivera"
"Jaded Pants Pub","Alan Strieker"
"Jealous Fiddle Pub","Alan Strieker"
"Keen Snail Bar","Alan Strieker"
"Interesting Trumpet Inn","Alan Tidwell"
"Iron Tigress Inn","Alan Tidwell"
"Iron Library Tavern","Alan Tidwell"
"Snobbish Jackal Inn","Alan Waddell"
"Sore Head","Alan Waddell"
"Sweet And Sour Castle Bar","Alan Waldrop"
"Sudden Dragon Bar","Alan Waldrop"
"Swift Angels Pub","Alan Wermers"
"Tasty Fairy Tavern","Alan Wermers"
"Tacky Lyre Pub","Alan Wermers"
"Sweet And Sour Castle Bar","Alana Rivera"
"Sudden Dragon Bar","Alana Rivera"
"Sudden Octopus","Alana Rivera"
"Icky Elephants Tavern","Alba Griffie"
"Oceanic Woodpecker Inn","Albert Adams"
"Oceanic Knight Inn","Albert Barbee"
"Organic Buffalo Bar","Albert Barbee"
"Organic Buffalo Bar","Albert Brannen"
"Oceanic Woodpecker Inn","Albert Brannen"
"Hot Cup Inn","Albert Bryson"
"Sore Head","Albert Connelly"
"Snobbish Jackal Inn","Albert Connelly"
"Smelly Crane Tavern","Albert Connelly"
"Ugliest Pants Tavern","Albert Gross"
"Best Stick Tavern","Albert Harris"
"Awful Salmon Bar","Albert Harris"
"Overrated Pigeons Pub","Albert Hopper"
"Peaceful Bison","Albert Hopper"
"Regular Drum Tavern","Albert Hupp"
"Rich Tauren Bar","Albert Hupp"
"Brave Olive Pub","Albert Johns"
"Atomic Liquors","Albert Kalman"
"Peaceful Bison","Albert Lillibridge"
"Parallel Pegasus Bar","Albert Lillibridge"
"Deep Flute Bar","Albert Matelski"
"Armed Pudding Bar","Albert Navarro"
"Atomic Liquors","Albert Navarro"
"Assorted Dandelion Bar","Albert Navarro"
"Swift Angels Pub","Albert Nelson"
"Tacky Lyre Pub","Albert Nelson"
"Tasty Fairy Tavern","Albert Nelson"
"Atomic Liquors","Albert Palomino"
"Assorted Dandelion Bar","Albert Palomino"
"Armed Pudding Bar","Albert Palomino"
"Chunky Hawks Tavern","Albert Petty"
"Clever Child","Albert Petty"
"Fluffy Husband","Albert Salinas"
"Fearless Drum Bar","Albert Salinas"
"Iron Turkey","Albert Scott"
"Itchy Cheetah Bar","Albert Scott"
"Wild Hag Bar","Albert Smith"
"Windy Harp","Albert Smith"
"Jealous Fiddle Pub","Albert Stokes"
"Natural Squash Tavern","Albert Terrazas"
"Naughty Bean Inn","Albert Terrazas"
"Brave Olive Pub","Alberta Davis"
"Blue City","Alberta Davis"
"Busy Bachelor Bar","Alberta Davis"
"Original Horse Brewpub","Alberta Russell"
"Outrageous Sailboat Inn","Alberta Russell"
"Steel Yew","Alberta Swanson"
"Spirited Brew Saloon","Alberta Swanson"
"Steel Elf","Alberta Swanson"
"Hungry Turtle Pub","Alberta Wade"
"Rainy Lime Tavern","Alberto Miles"
"Deep Lantern","Alberto Nash"
"Chunky Hawks Tavern","Alberto Sandefur"
"Clean Bed Inn","Alberto Sandefur"
"Deep Flute Bar","Alberto Young"
"Dandy Cloud Bistro","Alberto Young"
"Purple Pint Bar and Grille","Alejandra Johnson"
"Proud Spiders","Alejandra Johnson"
"Sudden Dragon Bar","Alejandra Jolivette"
"Sweet And Sour Castle Bar","Alejandra Jolivette"
"Sudden Octopus","Alejandra Jolivette"
"Regular Drum Tavern","Alejandro Day"
"Rich Tauren Bar","Alejandro Day"
"Brave Olive Pub","Alejandro Kelly"
"Busy Bachelor Bar","Alejandro Kelly"
"Crooked Sailor Ale House","Alejandro Newberry"
"Courageous Lyre Bar","Alejandro Newberry"
"Brave Olive Pub","Alene Villarreal"
"Blue City","Alene Villarreal"
"Purple Pint Bar and Grille","Alesha Hobbs"
"Proud Spiders","Alesha Hobbs"
"Poor Bats Inn","Alethea Beauchamp"
"Pleasant Parrot Tavern","Alethea Beauchamp"
"Perfect Rabbit Tavern","Alethea Beauchamp"
"Safe Palm Inn","Alex Jones"
"Scary Kiwi","Alex Jones"
"Scared Crossbow Tavern","Alex Jones"
"Mixing Demon Pub","Alex Kelly"
"Natural Leopard","Alex Kelly"
"Atomic Liquors","Alex Rainer"
"Armed Pudding Bar","Alex Rainer"
"Assorted Dandelion Bar","Alex Rainer"
"Deep Flute Bar","Alex Rector"
"Dramatic Crabs","Alexa Mcgill"
"Proud Spiders","Alexa Wittner"
"Psychotic Seadog","Alexa Wittner"
"Magnificent Dark Elf Bar","Alexander Britcher"
"Wrong Whip Bar","Alexander Erler"
"Amused Lemon Parlor","Alexander Erler"
"Naughty Bean Inn","Alexander Hastings"
"Needy Mind Tavern","Alexander Hastings"
"Natural Squash Tavern","Alexander Hastings"
"Outrageous Sailboat Inn","Alexander Juelfs"
"Original Horse Brewpub","Alexander Juelfs"
"Iron Library Tavern","Alexander Lack"
"Interesting Trumpet Inn","Alexander Lack"
"Hidden Lady Parlor","Alexander Lee"
"Hidden Table Brewpub","Alexander Lee"
"Smelly Crane Tavern","Alexander Mcdade"
"Snobbish Jackal Inn","Alexander Mcdade"
"Sore Head","Alexander Mcdade"
"Harsh Flame Tavern","Alexander Montano"
"Gray City","Alexander Montano"
"Thundering Table Inn","Alexander Schofield"
"Teeny Gauntlet Bar","Alexander Schofield"
"Psychotic Seadog","Alexander Ullman"
"Russian Otter Pub","Alexandra Martin"
"Rusty Sailor Outpost","Alexandra Martin"
"Ruthless Chestnut","Alexandra Martin"
"Regular Drum Tavern","Alexis Brinkmann"
"Responsible Chair","Alexis Brinkmann"
"Rich Tauren Bar","Alexis Brinkmann"
"Hypnotic Gate Tavern","Alexis Caldwell"
"Scared Crossbow Tavern","Alexis Chatman"
"Safe Palm Inn","Alexis Chatman"
"Shouting Snake Inn","Alexis Kidd"
"Impossible Fire","Alfred Blackwell"
"Icky Elephants Tavern","Alfred Blackwell"
"Nervous Mountain Inn","Alfred Bridgmon"
"Nervous Jaguar Inn","Alfred Bridgmon"
"Deep Lantern","Alfred Duck"
"Diamond Turtle Inn","Alfred Duck"
"Deep Glass Bar","Alfred Duck"
