drinker,beer
"Aaron Adkins","Amstel Lager"
"Aaron Adkins","Cauldron Brew"
"Aaron Betancourt","Inspiration Ale"
"Aaron Betancourt","Welsh Pride"
"Aaron Betancourt","Holiday Trappist Style Ale"
"Aaron Butler","St. Stephen's Bock"
"Aaron Butler","Pumpkin Ale"
"Aaron Butler","Amstel Bock"
"Aaron Butler","Celebration Ale"
"Aaron Butler","Pilot Rock Porter"
"Aaron Clement","Sausa Pils"
"Aaron Clement","Hibiscus Ginger Beer"
"Aaron Clement","The Captain's Porter"
"Aaron Griffin","Kirner Pils Premium"
"Aaron Hodge","Newark IPA"
"Aaron Hodge","St. Stephen's Bock"
"Aaron Hodge","Imperial Stout"
"Aaron Holder","Pacific Pilsner"
"Aaron Holder","Orca Porter"
"Aaron Holder","Dry Hop Orange"
"Aaron Jackson","Dry Hop Orange"
"Aaron Jackson","Dry Hop Red"
"Aaron Jackson","Coconut Porter"
"Aaron Lindell","Holiday Trappist Style Ale"
"Aaron Lindell","Grey Whale Ale"
"Aaron Mackiewicz","Ballz Deep Double IPA"
"Aaron Mackiewicz","Orca Porter"
"Aaron Mackiewicz","Dry Stout"
"Aaron Mikell","Caldera Oatmeal Stout"
"Aaron Mikell","Pacific Pilsner"
"Aaron Mikell","Holiday Ale"
"Aaron Mikell","Dry Hop Red"
"Aaron Owens",Megalodon
"Aaron Page","Caldera IPA"
"Aaron Page","St. Stephen's Bock"
"Aaron Page","Inspiration Ale"
"Aaron Page","Old Growth Imperial Stout"
"Aaron Sallee","Caldera IPA"
"Aaron Sallee","North Beach Ale"
"Aaron Sallee","Red Moon"
"Aaron Voorhees","Yellowjacket Ale"
"Aaron Voorhees","Dry Hop Orange"
"Aaron Voorhees","Amstel Bock"
"Aaron Voorhees","Hopportunity Knocks"
"Aaron Whitmer","Schinderhannes Bock"
"Aaron Whitmer","Southside Strong"
"Aaron Whitmer","Celebration Ale"
"Aaron Whitmer","Caldera Pale Ale"
"Aaron Zeigler","Killer Whale Stout"
"Aaron Zeigler","Caldera IPA"
"Aaron Zeigler","Inspiration Ale"
"Abel White","Amstel Bright"
"Abel White","Blue Whale Ale"
"Abel White","Deviator Doppelbock"
"Abel White","Yellowjacket Ale"
"Abel White","Ballz Deep Double IPA"
"Abigail Brandon","Dry Stout"
"Abigail Brandon","Killer Whale Stout"
"Abigail Brandon","Imperial Stout"
"Abigail Brandon","Old Growth Imperial Stout"
"Abigail Mack","Lawnmower Lager"
"Abigail Mack","Orca Porter"
"Abigail Mack","Amstel Oud Bruin"
"Ada Saunders","Newark IPA"
"Ada Saunders","Caldera IPA"
