bar,bartender,day,start,end,date
"Absent Snow","Carolyn Norman",Monday,15:00,23:45,2018-10-15
"Absent Snow","Brandon Campbell",Monday,15:00,23:45,2018-10-15
"Absent Snow","Bobbie Truax",Monday,15:00,23:45,2018-10-15
"Absent Snow","Donald Klapper",Monday,15:00,23:45,2018-10-15
"Absent Snow","Bertie Rains",Monday,12:00,15:00,2018-10-15
"Absent Snow","Aaron Mcdaniel",Monday,12:00,15:00,2018-10-15
"Absent Snow","Alicia Johnson",Monday,20:00,23:45,2018-10-15
"Absent Snow","Brian Hill",Monday,17:45,23:45,2018-10-15
"Absent Snow","Beverly Schnarr",Monday,14:30,23:45,2018-10-15
"Absent Snow","Cruz Brelsford",Monday,12:00,13:00,2018-10-15
"Absent Snow","Bertie Rains",Tuesday,16:45,22:00,2018-10-09
"Absent Snow","Brian Hill",Tuesday,16:45,22:00,2018-10-09
"Absent Snow","Alicia Johnson",Tuesday,16:45,22:00,2018-10-09
"Absent Snow","Beverly Schnarr",Tuesday,16:45,22:00,2018-10-09
"Absent Snow","Brandon Campbell",Tuesday,09:00,16:45,2018-10-09
"Absent Snow","Bobbie Truax",Tuesday,09:00,16:45,2018-10-09
"Absent Snow","Carolyn Norman",Tuesday,20:00,22:00,2018-10-09
"Absent Snow","Aaron Mcdaniel",Tuesday,16:45,22:00,2018-10-09
"Absent Snow","Donald Klapper",Tuesday,16:45,22:00,2018-10-09
"Absent Snow","Cruz Brelsford",Tuesday,09:00,16:25,2018-10-09
"Absent Snow","Brandon Campbell",Wednesday,14:50,22:15,2018-10-10
"Absent Snow","Cruz Brelsford",Wednesday,14:50,22:15,2018-10-10
"Absent Snow","Bertie Rains",Wednesday,14:50,22:15,2018-10-10
"Absent Snow","Bobbie Truax",Wednesday,14:50,22:15,2018-10-10
"Absent Snow","Beverly Schnarr",Wednesday,12:00,14:50,2018-10-10
"Absent Snow","Aaron Mcdaniel",Wednesday,12:00,14:50,2018-10-10
"Absent Snow","Alicia Johnson",Wednesday,14:30,22:15,2018-10-10
"Absent Snow","Brian Hill",Wednesday,17:45,22:15,2018-10-10
"Absent Snow","Carolyn Norman",Wednesday,16:00,22:15,2018-10-10
"Absent Snow","Donald Klapper",Wednesday,12:00,13:00,2018-10-10
"Absent Snow","Bobbie Truax",Thursday,16:20,23:00,2018-10-11
"Absent Snow","Cruz Brelsford",Thursday,16:20,23:00,2018-10-11
"Absent Snow","Donald Klapper",Thursday,16:20,23:00,2018-10-11
"Absent Snow","Brandon Campbell",Thursday,16:20,23:00,2018-10-11
"Absent Snow","Brian Hill",Thursday,12:00,16:20,2018-10-11
"Absent Snow","Beverly Schnarr",Thursday,12:00,16:20,2018-10-11
"Absent Snow","Bertie Rains",Thursday,14:30,23:00,2018-10-11
"Absent Snow","Carolyn Norman",Thursday,14:30,23:00,2018-10-11
"Absent Snow","Aaron Mcdaniel",Thursday,16:25,23:00,2018-10-11
"Absent Snow","Alicia Johnson",Thursday,12:00,20:00,2018-10-11
"Absent Snow","Bertie Rains",Friday,14:50,23:15,2018-10-12
"Absent Snow","Carolyn Norman",Friday,14:50,23:15,2018-10-12
"Absent Snow","Brandon Campbell",Friday,14:50,23:15,2018-10-12
"Absent Snow","Alicia Johnson",Friday,14:50,23:15,2018-10-12
"Absent Snow","Bobbie Truax",Friday,12:00,14:50,2018-10-12
"Absent Snow","Beverly Schnarr",Friday,12:00,14:50,2018-10-12
"Absent Snow","Donald Klapper",Friday,16:00,23:15,2018-10-12
"Absent Snow","Brian Hill",Friday,17:45,23:15,2018-10-12
"Absent Snow","Aaron Mcdaniel",Friday,14:30,23:15,2018-10-12
"Absent Snow","Cruz Brelsford",Friday,12:00,14:30,2018-10-12
"Absent Snow","Alicia Johnson",Sunday,13:45,22:15,2018-10-14
"Absent Snow","Donald Klapper",Sunday,13:45,22:15,2018-10-14
"Absent Snow","Beverly Schnarr",Sunday,13:45,22:15,2018-10-14
"Absent Snow","Brian Hill",Sunday,13:45,22:15,2018-10-14
"Absent Snow","Brandon Campbell",Sunday,12:00,13:45,2018-10-14
"Absent Snow","Aaron Mcdaniel",Sunday,12:00,13:45,2018-10-14
"Absent Snow","Cruz Brelsford",Sunday,17:45,22:15,2018-10-14
"Absent Snow","Carolyn Norman",Sunday,16:25,22:15,2018-10-14
"Absent Snow","Bertie Rains",Sunday,14:30,22:15,2018-10-14
"Absent Snow","Bobbie Truax",Sunday,12:00,13:00,2018-10-14
"Absent Snow","Donald Klapper",Saturday,13:30,22:15,2018-10-13
"Absent Snow","Brandon Campbell",Saturday,13:30,22:15,2018-10-13
"Absent Snow","Beverly Schnarr",Saturday,13:30,22:15,2018-10-13
"Absent Snow","Alicia Johnson",Saturday,13:30,22:15,2018-10-13
"Absent Snow","Cruz Brelsford",Saturday,10:00,13:30,2018-10-13
"Absent Snow","Bobbie Truax",Saturday,10:00,13:30,2018-10-13
"Absent Snow","Bertie Rains",Saturday,13:00,22:15,2018-10-13
"Absent Snow","Carolyn Norman",Saturday,20:00,22:15,2018-10-13
"Absent Snow","Brian Hill",Saturday,16:45,22:15,2018-10-13
"Absent Snow","Aaron Mcdaniel",Saturday,10:00,20:00,2018-10-13
"Admiral Benbow Inn","Judith Auger",Monday,16:45,22:30,2018-10-15
"Admiral Benbow Inn","Henry Kujawski",Monday,16:45,22:30,2018-10-15
"Admiral Benbow Inn","James Rogers",Monday,16:45,22:30,2018-10-15
"Admiral Benbow Inn","Joe Browning",Monday,16:45,22:30,2018-10-15
"Admiral Benbow Inn","Mae Mclean",Monday,10:00,16:45,2018-10-15
"Admiral Benbow Inn","Janet Livingston",Monday,10:00,16:45,2018-10-15
